linha_origem;cnes;co_unidade_original;nome;logradouro;numero;bairro;cep;municipio_gestor;tp_unidade;co_tipo_unidade;co_tipo_estabelecimento;latitude_original;longitude_original;latitude;longitude;candidata_upa_nome;status_cadastro;status_coordenadas;alertas
80;0297232;2,9274E+12;UNIDADE DE SUPORTE BASICO BR 65;RUA MARQUES DE MARICA;S/N;PAU MIUDO;40130000;292740;42;;008;-12.959.226.519.011.500;-3.848.727.464.675.900;-12.9592265190115;-38.487274646759;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
81;0297194;2,9274E+12;UNIDADE DE SUPORTE BASICO PB 68;RUA MARQUES DE MARICA;S/N;PAU MIUDO;40130000;292740;42;;008;-12.959.226.519.011.500;-3.848.742.485.046.380;-12.9592265190115;-38.4874248504638;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
82;0297313;2,9274E+12;UNIDADE DE SUPORTE AVANCADO PM 04;RUA MARQUES DE MARICA;S/N;PAU MIUDO;40130000;292740;42;;008;-1.295.928.925.243.280;-3.848.761.796.951.290;-12.9592892524328;-38.4876179695129;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
83;0297364;2,9274E+12;UNIDADE DE SUPORTE AVANCADO BR 05;RUA MARQUES DE MARICA;S/N;PAU MIUDO;40130000;292740;42;;008;-1.295.928.925.243.280;-384.876.823.425.293;-12.9592892524328;-38.4876823425293;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
84;7986076;2,92741E+12;UPA 24H BROTAS;RUA JARDIM MADALENA;461;BROTAS;40285505;292740;73;;008;-129.865.036;-38.481.789;-12.9865036;-38.481789;1;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
85;7248687;2,92741E+12;UNIDADE DE SUPORTE AVANCADO PM 40;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.278.796.863.600;-3.848.755.359.649.650;-12.9592787968636;-38.4875535964965;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
86;7248695;2,92741E+12;AMBULANCHA BAHIA MARINA TN 79;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.132.418.849.800;-3.848.781.108.856.200;-12.9591324188498;-38.487811088562;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
87;7248709;2,92741E+12;MOTOLANCIA MT 07;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-12.959.268.341.294.100;-3.848.761.796.951.290;-12.9592683412941;-38.4876179695129;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
88;7248725;2,92741E+12;UNIDADE DE SUPORTE BASICO JA 38;RUA MARQUES DE MARICA COMPLEXO CASAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-1.295.929.448.021.720;-3.848.756.432.533.260;-12.9592944802172;-38.4875643253326;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
89;7248733;2,92741E+12;UNIDADE DE SUPORTE BASICO VL 57;RUA MARQUES DE MARICA COMPLEXO CESAR ARAUJO;S/N;PAU MIUDO;40320350;292740;42;;008;-1.295.933.107.470.480;-384.875.750.541.687;-12.9593310747048;-38.4875750541687;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
90;0003913;2,9274E+12;UNIDADE EMERGENCIA GERCINO COELHO;RUA 8 DE NOVEMBRO;S/N;PIRAJA;40290200;292740;73;;008;-129.016.776;-384.638.383;-12.9016776;-38.4638383;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
91;0005363;2,9274E+12;UNIDADE DE PRONTO ATENDIMENTO DE SAO CAETANO UPA 24H;RUA ANNE MARIANE BITTENCOURT;S/N;SAO CAETANO;40391286;292740;20;;008;-12.935.658.546.071.400;-384.756.875.038.147;-12.9356585460714;-38.4756875038147;1;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
92;0004340;2,9274E+12;UPA 24H DR HELIO MACHADO;RUA DA CACIMBA;97;ITAPUA;41610655;292740;73;;008;-129.479.257;-383.663.322;-12.9479257;-38.3663322;1;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
93;4289684;2,9274E+12;UNIDADE DE SUPORTE BASICO JA 39;RUA MARQUES DE MARICA;S/N;PAU MIUDO;40320350;292740;42;;008;-129.602.342;-384.837.398;-12.9602342;-38.4837398;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
94;4173171;2,9274E+12;UNIDADE SUPERAR REMOCOES I;PRAIA DO SUAPE;12;STELLA MARIS;41600125;292740;42;;008;-129.341.504;-383.464.881;-12.9341504;-38.3464881;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
95;4289706;2,9274E+12;UNIDADE DE SUPORTE BASICO PM 48;RUA MARQUES DE MARICA;S/N;PAU MIUDO;40320350;292740;42;;008;-129.602.342;-384.837.398;-12.9602342;-38.4837398;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
96;4289714;2,9274E+12;UNIDADE DE SUPORTE BASICO PP 23;RUA MARQUES DE MARICA;S/N;PAU MIUDO;40320350;292740;42;;008;-129.602.342;-384.837.398;-12.9602342;-38.4837398;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
97;4445252;2,9274E+12;PA ILHA DE MARE;ILHA DE MARE;S/N;PRAIA GRANDE;42500710;292740;73;;008;-1.276.662.353.083.090;-3.853.332.281.112.670;-12.7666235308309;-38.5333228111267;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
98;4289692;2,9274E+12;UNIDADE DE SUPORTE BASICO CC 74;RUA MARQUE DE MARICA;S/N;PAU MIUDO;40320350;292740;42;;008;-129.602.342;-384.837.398;-12.9602342;-38.4837398;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
99;4986563;2,9274E+12;CUIDABEM;AV DOM JOAO VI SALA 610;315;BROTAS;40285000;292740;42;;008;-12.924.595.259.976.700;-384.126.877.784.729;-12.9245952599767;-38.4126877784729;0;VALIDO;RECONSTRUIDAS_REVISAR;CO_UNIDADE_NAO_INTEIRO_TEXTUAL|CO_TIPO_UNIDADE_AUSENTE|LATITUDE_RECONSTRUIDA_REVISAR|LONGITUDE_RECONSTRUIDA_REVISAR
